32002011,18,,32002016,2
32002012,19,,32002103,2
32002013,50,,32002166,2
32002014,68,,32002053,3
32002015,5,,32002203,3
32002016,2,,32002041,4
32002017,21,,32002156,4
32002018,75,,32002191,4
32002019,65,,32002015,5
32002020,78,,32002126,5
32002022,62,,32002165,5
32002023,25,,32002107,6
32002024,56,,32002042,7
32002025,51,,32002096,7
32002026,64,,32002097,7
32002027,30,,32002192,7
32002028,56,,32002133,8
32002029,32,,32002142,8
32002030,57,,32002034,9
32002031,54,,32002134,9
32002032,23,,32002154,9
32002033,13,,32002184,9
32002034,9,,32002064,10
32002035,17,,32002131,10
32002036,30,,32002214,10
32002037,33,,32002033,13
32002038,42,,32002183,13
32002039,59,,32002124,14
32002040,15,,32002040,15
32002041,4,,32002059,15
32002042,7,,32002190,15
32002043,23,,32002209,15
32002044,37,,32002035,17
32002045,51,,32002099,17
32002046,43,,32002185,17
32002047,50,,32002011,18
32002048,78,,32002067,18
32002049,71,,32002070,18
32002050,67,,32002151,18
32002051,70,,32002161,18
32002052,79,,32002217,18
32002053,3,,32002220,18
32002054,64,,32002012,19
32002055,77,,32002065,19
32002056,39,,32002162,19
32002057,67,,32002215,19
32002058,80,,32002017,21
32002059,15,,32002101,21
32002061,51,,32002167,21
32002062,59,,32002032,23
32002063,34,,32002043,23
32002064,10,,32002137,23
32002065,19,,32002182,23
32002066,34,,32002193,23
32002067,18,,32002086,24
32002068,35,,32002023,25
32002069,32,,32002173,25
32002070,18,,32002102,26
32002071,66,,32002155,26
32002072,38,,32002106,27
32002073,45,,32002157,28
32002074,29,,32002074,29
32002075,56,,32002224,29
32002076,35,,32002027,30
32002077,51,,32002036,30
32002079,49,,32002123,30
32002080,72,,32002129,30
32002081,48,,32002149,30
32002082,72,,32002177,30
32002083,44,,32002084,31
32002084,31,,32002029,32
32002085,61,,32002069,32
32002086,24,,32002152,32
32002087,60,,32002179,32
32002088,54,,32002219,32
32002089,70,,32002037,33
32002090,34,,32002112,33
32002091,45,,32002125,33
32002092,72,,32002187,33
32002093,76,,32002063,34
32002094,70,,32002066,34
32002095,36,,32002090,34
32002096,7,,32002216,34
32002097,7,,32002068,35
32002098,51,,32002076,35
32002099,17,,32002218,35
32002100,53,,32002226,35
32002101,21,,32002095,36
32002102,26,,32002147,36
32002103,2,,32002044,37
32002104,40,,32002146,37
32002105,56,,32002159,37
32002106,27,,32002194,37
32002107,6,,32002072,38
32002108,62,,32002222,38
32002109,42,,32002056,39
32002110,73,,32002206,39
32002111,45,,32002104,40
32002112,33,,32002038,42
32002113,49,,32002109,42
32002114,59,,32002188,42
32002115,45,,32002046,43
32002116,59,,32002122,43
32002117,54,,32002196,43
32002120,58,,32002083,44
32002121,61,,32002073,45
32002122,43,,32002091,45
32002123,30,,32002111,45
32002124,14,,32002115,45
32002125,33,,32002158,45
32002126,5,,32002223,45
32002127,61,,32002160,46
32002128,48,,32002081,48
32002129,30,,32002128,48
32002130,65,,32002141,48
32002131,10,,32002079,49
32002132,69,,32002113,49
32002133,8,,32002135,49
32002134,9,,32002229,49
32002135,49,,32002013,50
32002136,54,,32002047,50
32002137,23,,32002163,50
32002138,57,,32002197,50
32002139,56,,32002025,51
32002141,48,,32002045,51
32002142,8,,32002061,51
32002143,62,,32002077,51
32002144,77,,32002098,51
32002145,60,,32002175,51
32002146,37,,32002195,51
32002147,36,,32002211,51
32002148,62,,32002227,51
32002149,30,,32002100,53
32002150,70,,32002153,53
32002151,18,,32002031,54
32002152,32,,32002088,54
32002153,53,,32002117,54
32002154,9,,32002136,54
32002155,26,,32002181,54
32002156,4,,32002024,56
32002157,28,,32002028,56
32002158,45,,32002075,56
32002159,37,,32002105,56
32002160,46,,32002139,56
32002161,18,,32002174,56
32002162,19,,32002178,56
32002163,50,,32002225,56
32002164,68,,32002030,57
32002165,5,,32002138,57
32002166,2,,32002180,57
32002167,21,,32002120,58
32002168,75,,32002039,59
32002169,65,,32002062,59
32002170,78,,32002114,59
32002172,62,,32002116,59
32002173,25,,32002189,59
32002174,56,,32002212,59
32002175,51,,32002087,60
32002176,64,,32002145,60
32002177,30,,32002085,61
32002178,56,,32002121,61
32002179,32,,32002127,61
32002180,57,,32002022,62
32002181,54,,32002108,62
32002182,23,,32002143,62
32002183,13,,32002148,62
32002184,9,,32002172,62
32002185,17,,32002026,64
32002187,33,,32002054,64
32002188,42,,32002176,64
32002189,59,,32002204,64
32002190,15,,32002019,65
32002191,4,,32002130,65
32002192,7,,32002169,65
32002193,23,,32002071,66
32002194,37,,32002221,66
32002195,51,,32002050,67
32002196,43,,32002057,67
32002197,50,,32002200,67
32002198,78,,32002207,67
32002199,71,,32002014,68
32002200,67,,32002164,68
32002201,70,,32002132,69
32002202,79,,32002051,70
32002203,3,,32002089,70
32002204,64,,32002094,70
32002205,77,,32002150,70
32002206,39,,32002201,70
32002207,67,,32002049,71
32002208,80,,32002199,71
